N,alpha_1,alpha_2,alpha_3,alpha_5,alpha_6,alpha_7,r,sigma_r,sigma_t,x0_1,x0_2,x0_3,x0_5,x0_6,x0_7,y0_1,y0_2,y0_3,y0_5,y0_6,y0_7
360.09564,3.7439702,3.7433286,3.754427,3.7517505,3.7909946,3.7104907,76.86421,0.036442276,0.48034272,79.26275,79.95639,79.797165,81.00686,78.1909,84.081566,135.79555,135.1614,135.23502,135.4652,134.17012,136.22981
356.81372,3.739384,3.747031,3.746718,3.7165604,3.7790713,3.7060513,76.864136,0.04992925,0.4789112,79.37352,79.448524,79.85008,82.23615,78.284676,83.58142,135.64165,135.44666,135.22565,135.84062,134.19011,136.04486
360.60928,3.7442255,3.7440991,3.7556536,3.7238247,3.7842486,3.715855,76.84589,0.040380646,0.49371228,79.32188,79.85776,79.85513,83.19099,78.66357,84.163,135.67802,135.20439,135.20345,136.04654,134.36299,136.2698
357.5271,3.742028,3.7380056,3.7496164,3.7343016,3.6675227,3.705224,76.81329,0.04242179,0.5020152,79.41937,79.89024,79.82667,81.10274,86.839134,83.58532,135.58249,135.11934,135.1846,135.48274,136.7968,136.00175
357.15076,3.7385514,3.740742,3.7479296,3.7376165,3.7184215,3.716601,76.85599,0.04168957,0.45614263,79.3505,79.76423,79.78849,81.03315,82.977776,82.9475,135.65863,135.24779,135.21373,135.49304,135.85703,135.7865
357.54068,3.738638,3.7491138,3.7495365,3.725566,3.7226093,3.7132359,76.85974,0.03455296,0.5603261,79.42953,79.29476,79.77572,82.32788,82.80996,83.20141,135.61209,135.49333,135.22125,135.85152,135.72112,135.91205
359.52594,3.7414188,3.7421134,3.7539554,3.7310371,3.6882083,3.7061577,76.86471,0.03415693,0.55078965,79.44847,79.68448,79.77861,81.71252,85.70477,84.29074,135.60939,135.29886,135.2293,135.66621,136.59288,136.2841
359.3835,3.7415662,3.7395952,3.754063,3.7412262,3.7511823,3.7141507,76.883514,0.0362532,0.47418815,79.2704,79.903435,79.84001,81.069885,80.75087,83.55591,135.79993,135.22229,135.23903,135.52126,135.11551,136.06905
359.11166,3.7401934,3.7472684,3.7529554,3.738878,3.738812,3.7147484,76.91652,0.03556784,0.4472857,79.379,79.55607,79.85741,81.518074,81.83033,83.340836,135.74379,135.43837,135.27658,135.68915,135.53003,136.01334
358.9581,3.7433956,3.7460096,3.7536356,3.7711544,3.7897422,3.7147722,76.84139,0.0364075,0.6057683,79.35724,79.69642,79.78646,79.155205,78.70937,83.21896,135.6334,135.25667,135.20467,134.91795,134.37941,135.906
